🤷‍♂️	man_shrugging	man_shrugging	man_shrugging man shrugging
🤷‍♀️	woman_shrugging	woman_shrugging	woman_shrugging woman shrugging
🧑‍⚕️	health_worker	health_worker	health_worker health worker
👨‍⚕️	man_health_worker	man_health_worker	man_health_worker man health worker doctor nurse
👩‍⚕️	woman_health_worker	woman_health_worker	woman_health_worker woman health worker doctor nurse
🧑‍🎓	student	student	student student
👨‍🎓	man_student	man_student	man_student man student graduation
👩‍🎓	woman_student	woman_student	woman_student woman student graduation
🧑‍🏫	teacher	teacher	teacher teacher
👨‍🏫	man_teacher	man_teacher	man_teacher man teacher school professor
👩‍🏫	woman_teacher	woman_teacher	woman_teacher woman teacher school professor
🧑‍⚖️	judge	judge	judge judge
👨‍⚖️	man_judge	man_judge	man_judge man judge justice
👩‍⚖️	woman_judge	woman_judge	woman_judge woman judge justice
🧑‍🌾	farmer	farmer	farmer farmer
👨‍🌾	man_farmer	man_farmer	man_farmer man farmer
👩‍🌾	woman_farmer	woman_farmer	woman_farmer woman farmer
🧑‍🍳	cook	cook	cook cook
👨‍🍳	man_cook	man_cook	man_cook man cook chef
👩‍🍳	woman_cook	woman_cook	woman_cook woman cook chef
🧑‍🔧	mechanic	mechanic	mechanic mechanic
👨‍🔧	man_mechanic	man_mechanic	man_mechanic man mechanic
👩‍🔧	woman_mechanic	woman_mechanic	woman_mechanic woman mechanic
🧑‍🏭	factory_worker	factory_worker	factory_worker factory worker
👨‍🏭	man_factory_worker	man_factory_worker	man_factory_worker man factory worker
👩‍🏭	woman_factory_worker	woman_factory_worker	woman_factory_worker woman factory worker
🧑‍💼	office_worker	office_worker	office_worker office worker
👨‍💼	man_office_worker	man_office_worker	man_office_worker man office worker business
👩‍💼	woman_office_worker	woman_office_worker	woman_office_worker woman office worker business
🧑‍🔬	scientist	scientist	scientist scientist
👨‍🔬	man_scientist	man_scientist	man_scientist man scientist research
👩‍🔬	woman_scientist	woman_scientist	woman_scientist woman scientist research
🧑‍💻	technologist	technologist	technologist technologist
👨‍💻	man_technologist	man_technologist	man_technologist man technologist coder
👩‍💻	woman_technologist	woman_technologist	woman_technologist woman technologist coder
🧑‍🎤	singer	singer	singer singer
👨‍🎤	man_singer	man_singer	man_singer man singer rockstar
👩‍🎤	woman_singer	woman_singer	woman_singer woman singer rockstar
🧑‍🎨	artist	artist	artist artist
👨‍🎨	man_artist	man_artist	man_artist man artist painter
👩‍🎨	woman_artist	woman_artist	woman_artist woman artist painter
🧑‍✈️	pilot	pilot	pilot pilot
👨‍✈️	man_pilot	man_pilot	man_pilot man pilot
👩‍✈️	woman_pilot	woman_pilot	woman_pilot woman pilot
🧑‍🚀	astronaut	astronaut	astronaut astronaut
👨‍🚀	man_astronaut	man_astronaut	man_astronaut man astronaut space
👩‍🚀	woman_astronaut	woman_astronaut	woman_astronaut woman astronaut space
🧑‍🚒	firefighter	firefighter	firefighter firefighter
👨‍🚒	man_firefighter	man_firefighter	man_firefighter man firefighter
👩‍🚒	woman_firefighter	woman_firefighter	woman_firefighter woman firefighter
👮	police_officer	police_officer,cop	police_officer cop police officer law
👮‍♂️	policeman	policeman	policeman man police officer law cop
👮‍♀️	policewoman	policewoman	policewoman woman police officer law cop
🕵️	detective	detective	detective detective sleuth
🕵️‍♂️	male_detective	male_detective	male_detective man detective sleuth
🕵️‍♀️	female_detective	female_detective	female_detective woman detective sleuth
💂	guard	guard	guard guard
💂‍♂️	guardsman	guardsman	guardsman man guard
💂‍♀️	guardswoman	guardswoman	guardswoman woman guard
🥷	ninja	ninja	ninja ninja
👷	construction_worker	construction_worker	construction_worker construction worker helmet
👷‍♂️	construction_worker_man	construction_worker_man	construction_worker_man man construction worker helmet
👷‍♀️	construction_worker_woman	construction_worker_woman	construction_worker_woman woman construction worker helmet
🫅	person_with_crown	person_with_crown	person_with_crown person with crown
🤴	prince	prince	prince prince crown royal
👸	princess	princess	princess princess crown royal
👳	person_with_turban	person_with_turban	person_with_turban person wearing turban
👳‍♂️	man_with_turban	man_with_turban	man_with_turban man wearing turban
👳‍♀️	woman_with_turban	woman_with_turban	woman_with_turban woman wearing turban
👲	man_with_gua_pi_mao	man_with_gua_pi_mao	man_with_gua_pi_mao person with skullcap
🧕	woman_with_headscarf	woman_with_headscarf	woman_with_headscarf woman with headscarf hijab
🤵	person_in_tuxedo	person_in_tuxedo	person_in_tuxedo person in tuxedo groom marriage wedding
🤵‍♂️	man_in_tuxedo	man_in_tuxedo	man_in_tuxedo man in tuxedo
🤵‍♀️	woman_in_tuxedo	woman_in_tuxedo	woman_in_tuxedo woman in tuxedo
👰	person_with_veil	person_with_veil	person_with_veil person with veil marriage wedding
👰‍♂️	man_with_veil	man_with_veil	man_with_veil man with veil
👰‍♀️	woman_with_veil	woman_with_veil,bride_with_veil	woman_with_veil bride_with_veil woman with veil
🤰	pregnant_woman	pregnant_woman	pregnant_woman pregnant woman
🫃	pregnant_man	pregnant_man	pregnant_man pregnant man
🫄	pregnant_person	pregnant_person	pregnant_person pregnant person
🤱	breast_feeding	breast_feeding	breast_feeding breast-feeding nursing
👩‍🍼	woman_feeding_baby	woman_feeding_baby	woman_feeding_baby woman feeding baby
👨‍🍼	man_feeding_baby	man_feeding_baby	man_feeding_baby man feeding baby
🧑‍🍼	person_feeding_baby	person_feeding_baby	person_feeding_baby person feeding baby
👼	angel	angel	angel baby angel
🎅	santa	santa	santa Santa Claus christmas
🤶	mrs_claus	mrs_claus	mrs_claus Mrs. Claus santa
🧑‍🎄	mx_claus	mx_claus	mx_claus mx claus
🦸	superhero	superhero	superhero superhero
🦸‍♂️	superhero_man	superhero_man	superhero_man man superhero
🦸‍♀️	superhero_woman	superhero_woman	superhero_woman woman superhero
🦹	supervillain	supervillain	supervillain supervillain
🦹‍♂️	supervillain_man	supervillain_man	supervillain_man man supervillain
🦹‍♀️	supervillain_woman	supervillain_woman	supervillain_woman woman supervillain
🧙	mage	mage	mage mage wizard
🧙‍♂️	mage_man	mage_man	mage_man man mage wizard
🧙‍♀️	mage_woman	mage_woman	mage_woman woman mage wizard
🧚	fairy	fairy	fairy fairy
🧚‍♂️	fairy_man	fairy_man	fairy_man man fairy
🧚‍♀️	fairy_woman	fairy_woman	fairy_woman woman fairy
🧛	vampire	vampire	vampire vampire
🧛‍♂️	vampire_man	vampire_man	vampire_man man vampire
🧛‍♀️	vampire_woman	vampire_woman	vampire_woman woman vampire
🧜	merperson	merperson	merperson merperson
🧜‍♂️	merman	merman	merman merman
🧜‍♀️	mermaid	mermaid	mermaid mermaid
🧝	elf	elf	elf elf
🧝‍♂️	elf_man	elf_man	elf_man man elf
🧝‍♀️	elf_woman	elf_woman	elf_woman woman elf
🧞	genie	genie	genie genie
🧞‍♂️	genie_man	genie_man	genie_man man genie
🧞‍♀️	genie_woman	genie_woman	genie_woman woman genie
🧟	zombie	zombie	zombie zombie
🧟‍♂️	zombie_man	zombie_man	zombie_man man zombie
🧟‍♀️	zombie_woman	zombie_woman	zombie_woman woman zombie
🧌	troll	troll	troll troll
💆	massage	massage	massage person getting massage spa
💆‍♂️	massage_man	massage_man	massage_man man getting massage spa
💆‍♀️	massage_woman	massage_woman	massage_woman woman getting massage spa
💇	haircut	haircut	haircut person getting haircut beauty
💇‍♂️	haircut_man	haircut_man	haircut_man man getting haircut
💇‍♀️	haircut_woman	haircut_woman	haircut_woman woman getting haircut
🚶	walking	walking	walking person walking
🚶‍♂️	walking_man	walking_man	walking_man man walking
🚶‍♀️	walking_woman	walking_woman	walking_woman woman walking
🧍	standing_person	standing_person	standing_person person standing
🧍‍♂️	standing_man	standing_man	standing_man man standing
🧍‍♀️	standing_woman	standing_woman	standing_woman woman standing
🧎	kneeling_person	kneeling_person	kneeling_person person kneeling
🧎‍♂️	kneeling_man	kneeling_man	kneeling_man man kneeling
🧎‍♀️	kneeling_woman	kneeling_woman	kneeling_woman woman kneeling
🧑‍🦯	person_with_probing_cane	person_with_probing_cane	person_with_probing_cane person with white cane
👨‍🦯	man_with_probing_cane	man_with_probing_cane	man_with_probing_cane man with white cane
👩‍🦯	woman_with_probing_cane	woman_with_probing_cane	woman_with_probing_cane woman with white cane
🧑‍🦼	person_in_motorized_wheelchair	person_in_motorized_wheelchair	person_in_motorized_wheelchair person in motorized wheelchair
👨‍🦼	man_in_motorized_wheelchair	man_in_motorized_wheelchair	man_in_motorized_wheelchair man in motorized wheelchair
👩‍🦼	woman_in_motorized_wheelchair	woman_in_motorized_wheelchair	woman_in_motorized_wheelchair woman in motorized wheelchair
🧑‍🦽	person_in_manual_wheelchair	person_in_manual_wheelchair	person_in_manual_wheelchair person in manual wheelchair
👨‍🦽	man_in_manual_wheelchair	man_in_manual_wheelchair	man_in_manual_wheelchair man in manual wheelchair
👩‍🦽	woman_in_manual_wheelchair	woman_in_manual_wheelchair	woman_in_manual_wheelchair woman in manual wheelchair
🏃	runner	runner,running	runner running person running exercise workout marathon
🏃‍♂️	running_man	running_man	running_man man running exercise workout marathon
🏃‍♀️	running_woman	running_woman	running_woman woman running exercise workout marathon
💃	woman_dancing	woman_dancing,dancer	woman_dancing dancer woman dancing dress
🕺	man_dancing	man_dancing	man_dancing man dancing dancer
🕴️	business_suit_levitating	business_suit_levitating	business_suit_levitating person in suit levitating
👯	dancers	dancers	dancers people with bunny ears bunny
👯‍♂️	dancing_men	dancing_men	dancing_men men with bunny ears bunny
👯‍♀️	dancing_women	dancing_women	dancing_women women with bunny ears bunny
🧖	sauna_person	sauna_person	sauna_person person in steamy room steamy
🧖‍♂️	sauna_man	sauna_man	sauna_man man in steamy room steamy
🧖‍♀️	sauna_woman	sauna_woman	sauna_woman woman in steamy room steamy
🧗	climbing	climbing	climbing person climbing bouldering
🧗‍♂️	climbing_man	climbing_man	climbing_man man climbing bouldering
🧗‍♀️	climbing_woman	climbing_woman	climbing_woman woman climbing bouldering
🤺	person_fencing	person_fencing	person_fencing person fencing
🏇	horse_racing	horse_racing	horse_racing horse racing
⛷️	skier	skier	skier skier
🏂	snowboarder	snowboarder	snowboarder snowboarder
🏌️	golfing	golfing	golfing person golfing
🏌️‍♂️	golfing_man	golfing_man	golfing_man man golfing
🏌️‍♀️	golfing_woman	golfing_woman	golfing_woman woman golfing
🏄	surfer	surfer	surfer person surfing
🏄‍♂️	surfing_man	surfing_man	surfing_man man surfing
🏄‍♀️	surfing_woman	surfing_woman	surfing_woman woman surfing
🚣	rowboat	rowboat	rowboat person rowing boat
🚣‍♂️	rowing_man	rowing_man	rowing_man man rowing boat
🚣‍♀️	rowing_woman	rowing_woman	rowing_woman woman rowing boat
🏊	swimmer	swimmer	swimmer person swimming
🏊‍♂️	swimming_man	swimming_man	swimming_man man swimming
